Sample,Time,Type,Actb,Bmi1,Bmp4,Bmp7,Bmpr1a,Cd34,Cdh1,Cdh2,Cdk2,Cdx2,Cldn6,Ctcf,Ctnnb1,Dnmt1,Dnmt3b,Dppa3,Dppa4,Eomes,Esrrb,Ezh2,Fbxo15,Fgf4,Fgf5,Fgfr2,Foxa2,Gapdh,Gata1,Gata4,Gata6,Gdf3,GFAP,Gli2,Grb2,Gsc,Gsk3b,Hand1,Hdac1,Hes1,Igf2,Isl1,Jag1,Jarid2,Kdm1a,Kdm4c,Klf4,Lif,Lifr,Lin28a,Mbd3,MBP,Mef2a,Mixl1,Mki67ip,Myc,Myst3,Nanog,Ncam1,Nestin,Notch1,Nr0b1,Nr5a2,Nr6a1,Olig1,Olig2,Otx2,Pax6,Pou5f1,Prmt6,Prmt7,Ptpn11,Rai1,Rcc1,Rest,Sall4,Setdb1,Smad1,Smarca4,Smarcc1,Socs3,Sox1,Sox2,Stat3,T,Tbx3,Tcf7l1,Tcl1,Tgm2,Trp53,Tubb3,Utf1,Vim,Wdr5,Wnt3a,Wnt5a,Zfp281,Zfp42,
E14tg2a.0h.1A,0,E14,16.71675901,0.0,26.18344826,0.0,25.49352778,0.0,25.75439378,0.0,22.56677155,0.0,24.71105555,24.07291361,21.51885504,16.6899298,17.26066593,0.0,20.73023905,0.0,23.35770692,24.3650377,22.31297041,21.04410788,0.0,0.0,0.0,15.26958587,27.48734019,0.0,25.15802172,22.84611771,0.0,19.45186722,26.0406562,0.0,26.20278685,0.0,21.85566717,27.92313594,0.0,0.0,25.18479272,23.03614701,17.12800092,17.92199762,25.27000772,0.0,25.73484116,19.12498426,22.08031868,0.0,26.94961198,0.0,0.0,22.75334024,22.7547649,19.20035918,0.0,0.0,0.0,24.61232989,24.32209516,0.0,0.0,0.0,25.23672748,0.0,23.10469875,0.0,24.40918693,25.51528914,0.0,0.0,21.50943838,22.30538306,25.63383948,24.88649682,0.0,18.75330178,26.090595,0.0,0.0,17.91460102,0.0,23.86179804,21.82651728,25.85473101,0.0,22.22585272,25.43156073,22.26688204,21.74767787,22.57737968,0.0,0.0,22.33693534,18.88055394,
E14tg2a.0h.1B,0,E14,11.28376303,0.0,15.37956225,0.0,18.53550741,0.0,0.0,0.0,14.5474578,0.0,0.0,13.68793888,12.48017113,12.93542213,13.51929135,0.0,18.85080382,18.04910537,15.58926857,16.97669775,13.94775626,13.68735864,0.0,0.0,0.0,8.798119135,0.0,0.0,0.0,14.16412932,0.0,25.48087012,24.32924228,0.0,0.0,0.0,12.14038608,19.42785253,0.0,0.0,22.58515416,14.76613984,12.56028108,18.02102874,14.86227924,0.0,16.25821337,15.29132886,13.61869547,0.0,0.0,0.0,16.29271712,14.57691997,15.95116824,14.01896674,0.0,20.43524039,19.19125625,14.39303242,16.66267711,0.0,0.0,0.0,0.0,0.0,13.72694438,0.0,16.5587409,15.13987116,0.0,15.63966204,13.02489608,13.78600326,17.7405464,38.11215265,0.0,14.33666116,15.94488993,0.0,16.49615335,15.54391989,0.0,15.78575998,14.50675315,18.57072176,0.0,13.89527273,13.83747199,16.67696645,12.19991741,13.88451156,18.46085597,0.0,13.84146633,12.46925612,
E14tg2a.0h.1C,0,E14,11.35626427,0.0,15.30581021,0.0,0.0,0.0,0.0,0.0,15.40454956,0.0,0.0,13.41504055,11.72961153,12.44858747,12.02606818,0.0,16.55069961,0.0,13.93446523,16.90442147,13.08991728,12.67617146,0.0,0.0,0.0,7.535474257,0.0,0.0,0.0,12.56653838,0.0,17.64473791,16.54846897,0.0,0.0,0.0,11.76395179,0.0,0.0,19.79751655,17.19534087,13.71823178,12.07397684,15.55248351,15.17914142,0.0,15.80719457,15.34941566,13.16846186,0.0,18.40089256,0.0,19.36737496,13.99915686,14.95046365,13.88553779,0.0,0.0,0.0,16.78277918,15.78073992,0.0,0.0,0.0,0.0,0.0,13.70001608,0.0,16.04405344,15.25270625,25.51173359,16.78441234,11.60097363,12.92753396,16.49969272,16.71669941,0.0,13.66196076,16.1198832,0.0,16.41931919,13.9022311,0.0,14.16903263,12.65608264,17.36737409,0.0,14.42696043,15.93367806,19.74466956,11.95692846,14.37154205,0.0,0.0,13.99673692,10.91315949,
E14tg2a.0h.1D,0,E14,10.92300973,18.05053028,16.74403165,0.0,17.10032297,0.0,0.0,0.0,15.30884979,0.0,0.0,15.9134223,12.53367548,12.15305756,15.91095958,0.0,18.3210484,19.22095747,14.77045853,19.1447449,13.98726406,13.10921552,0.0,0.0,0.0,8.369826808,0.0,0.0,0.0,13.56595933,0.0,18.18563954,16.72730505,19.80994402,0.0,0.0,12.27136684,28.64829445,0.0,0.0,17.68883763,14.62626353,11.94680939,15.9255984,13.61770351,20.52260143,15.55579908,16.50790196,13.43473706,0.0,0.0,0.0,16.83899352,15.58136318,15.96372607,14.42208088,0.0,21.50467154,20.01139822,15.99200652,17.56132528,0.0,0.0,0.0,24.69774322,0.0,14.83379559,0.0,16.4843791,15.61309098,0.0,16.16588051,13.30097288,13.93533494,17.29388206,17.1219548,0.0,14.09746062,19.26624835,0.0,15.7486289,14.19067549,0.0,15.16696271,14.17912931,16.97634202,17.78220516,14.50855932,13.67330536,16.91172625,11.70340881,14.5017755,0.0,0.0,14.10620437,11.55522722,
E14tg2a.0h.1E,0,E14,10.33477931,18.60765983,16.69323649,0.0,17.36445224,0.0,0.0,0.0,13.87663147,0.0,0.0,14.47123475,11.86474415,13.12698028,12.43830138,0.0,17.5135443,16.40302394,14.68321471,17.60857897,13.10145188,13.88509549,0.0,0.0,0.0,8.797889421,20.32461787,0.0,0.0,13.95570671,0.0,20.0613787,16.00319328,27.03167495,0.0,0.0,12.16415742,20.46807623,0.0,0.0,24.40055786,14.03250637,12.53405031,15.74918614,16.36460445,26.75154254,15.70125982,14.41098384,13.05766615,0.0,0.0,0.0,16.65954756,13.29823949,16.11910141,14.99669621,0.0,20.70860289,19.7145946,14.55181842,16.87888369,0.0,0.0,0.0,17.96963573,0.0,14.48238704,0.0,15.75840249,15.95709248,18.02875357,15.37974112,12.01377342,13.20298295,17.01691232,16.3677811,0.0,13.80933544,16.5484221,0.0,18.75565146,13.8710991,0.0,14.08864228,13.91014314,0.0,24.26760691,13.76377227,12.94245899,16.41166199,11.04955503,14.15872371,0.0,0.0,13.44182654,11.91448069,
E14tg2a.0h.1F,0,E14,10.5367681,22.22749711,15.89820228,0.0,16.44572748,0.0,0.0,19.38401626,14.52093635,0.0,18.47219669,14.44510894,12.20854054,11.92608978,13.78413048,0.0,16.96718107,0.0,14.40896047,16.60900876,13.12523332,12.80380407,0.0,0.0,0.0,7.788371196,0.0,0.0,0.0,13.19357247,0.0,16.59641838,16.50603213,0.0,18.84411003,0.0,11.85375238,0.0,0.0,0.0,15.85614923,13.62192997,12.04507856,15.87393202,15.52398148,0.0,16.22801692,14.61284066,12.90626,0.0,0.0,0.0,16.93017458,15.05249233,15.53786064,14.96425204,0.0,0.0,19.54653268,14.58029114,15.61538576,18.54387536,0.0,0.0,0.0,0.0,13.60027239,0.0,16.49664699,15.75976609,18.39550095,15.56689897,11.77426194,14.0316804,16.56533009,17.31849148,0.0,13.58434369,16.4062914,0.0,16.44818341,14.24170829,0.0,14.22625365,13.2408855,0.0,0.0,14.11502358,14.96798223,14.18313746,11.0099521,14.16942383,0.0,0.0,13.72507237,10.58435889,
E14tg2a.0h.1G,0,E14,10.29898639,17.75019767,17.01685118,0.0,18.94483973,0.0,0.0,0.0,13.38332084,0.0,0.0,13.50106601,11.59346378,11.85707215,12.42838781,0.0,15.41801046,26.58333215,14.19259565,15.95700857,12.92529048,12.41620305,0.0,0.0,19.83318866,7.667855527,0.0,0.0,0.0,12.7366612,0.0,16.52193316,14.62461697,0.0,0.0,0.0,11.49259896,26.55324406,0.0,0.0,14.94221438,13.39926574,11.22424042,15.25697769,15.29568231,19.64827619,14.89750026,13.70704436,12.62490217,0.0,0.0,0.0,17.62703495,14.58264881,15.87227183,14.10310514,0.0,19.32216861,25.51093421,13.88172367,14.89621195,0.0,0.0,0.0,18.90085107,0.0,12.83780442,21.48411157,16.5622474,15.12661267,0.0,15.51397805,11.35515848,12.58037465,16.64787819,18.88681948,0.0,12.98680042,16.65084825,0.0,15.70409391,12.78416864,0.0,14.4888632,12.80251925,16.8046496,18.49027762,12.84102484,13.07734206,13.49568007,12.40972161,13.51943639,26.96454929,0.0,12.73017771,10.8753763,
E14tg2a.0h.1H,0,E14,10.93642842,0.0,16.70489161,0.0,17.18388076,0.0,0.0,0.0,13.72897771,0.0,16.21985816,14.17882654,12.67868252,12.6741364,13.42355103,0.0,17.09820922,19.65006675,14.83579703,16.03548168,13.51569055,12.6906802,0.0,0.0,0.0,7.897542711,20.17299081,0.0,16.22728293,13.4910336,0.0,19.04194289,16.70901708,0.0,18.5875448,0.0,13.29613822,17.66720002,0.0,0.0,17.76876846,14.20134851,13.00410012,17.06988014,16.35033139,19.06034931,15.91822096,16.28178984,13.45232995,0.0,17.19824791,0.0,17.65900285,14.95507889,15.51550657,14.49346413,0.0,0.0,20.65440677,14.77867895,15.28170435,19.2496048,0.0,0.0,16.74569845,0.0,13.26933817,19.78146766,15.87855396,15.50933026,0.0,17.65799134,12.11761532,12.86369015,16.90806436,17.55699903,0.0,13.72883842,17.12934805,0.0,0.0,14.4801941,0.0,14.25591759,13.8908179,18.7725805,0.0,13.48449663,15.95366561,13.57956668,12.95101364,14.15788492,0.0,0.0,13.05305457,11.80303875,
E14tg2a.0h.2A,0,E14,16.50222833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.28035666,0.0,0.0,0.0,0.0,0.0,15.87860979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.84501664,22.62061147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9231583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18553902,18.02001541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3853508,19.11596868,0.0,0.0,0.0,0.0,
E14tg2a.0h.2B,0,E14,11.07175506,17.24018743,16.65544536,0.0,17.11121888,0.0,0.0,19.66080243,14.69134358,0.0,0.0,14.94512134,12.8661142,13.93867833,13.51612557,0.0,18.78086508,16.04580466,14.61044585,15.94713428,14.45993652,13.77597863,0.0,17.66243747,0.0,8.197205853,19.34375855,0.0,0.0,13.35850161,0.0,0.0,16.13400298,0.0,18.16262227,0.0,12.88846556,20.99708731,0.0,0.0,16.39305155,15.00003757,12.72646856,18.35995416,16.55011114,20.19312004,17.644797,16.6514112,14.71526732,0.0,18.20238105,0.0,17.02983158,14.38829154,16.30859805,15.51989342,0.0,20.29830654,18.47716514,15.65895014,17.44220705,19.38668299,0.0,0.0,0.0,0.0,14.54248136,0.0,16.07536602,15.98860079,0.0,0.0,12.49877937,14.69914126,16.63544603,17.8372566,0.0,13.72312968,17.85967097,0.0,17.28442411,15.03947684,0.0,15.53788662,15.50312578,17.668637,17.59316957,13.80161825,14.84536939,19.54591207,11.92395403,15.41253885,0.0,18.31259575,14.87390292,13.41439739,
